id,nume,brand,categorie,pret,tip_ten,subton,nuanta,finish,ocazie,acoperire,ingrediente_cheie,vegan,cruelty_free,rating,descriere,tip_produs,contrast,baza,origine,probleme,fungal_acne_safe,suited_eye_color,suited_hair_color,activ
251,Glow All Day Highlighter,Espoir,Iluminator,87.5,toate,cald|neutru,toate,glow,zi,toate,,Nu,Nu,4.0,Subtil,makeup,toate,toate,Coreea,,,toate,toate,1
252,True Dimension Glow Highlighter,Hince,Iluminator,87.5,toate,cald|neutru,toate,glow,zi,toate,,Nu,Nu,4.0,Aspect de piele,makeup,toate,toate,Coreea,,,toate,toate,1
253,Sugar Twinkle Liquid Glow,Peripera,Iluminator,55.0,toate,cald|rece,toate,lichid|shimmer,zi,toate,,Nu,Nu,4.0,Lichid,makeup,toate,toate,Coreea,,,toate,toate,1
254,Glow Beam Highlighter,3CE,Iluminator,87.5,toate,cald|neutru,toate,glow,zi,toate,,Nu,Nu,4.0,Estompabil,makeup,toate,toate,Coreea,,,toate,toate,1
255,Skin Fit Glow Highlighter,Wakemake,Iluminator,55.0,toate,neutru|cald,toate,glow,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
256,Glassy Layer Fixing Highlighter,Lilybyred,Iluminator,55.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
257,My Palette Highlighter,Innisfree,Iluminator,55.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Refill,makeup,toate,toate,Coreea,,,toate,toate,1
258,Pop Pop Sparkle / Glow Topper,Unleashia,Iluminator,87.5,toate,neutru|cald|rece,toate,glitter|glow,zi,toate,,Nu,Nu,4.0,Topper sclipitor,makeup,toate,toate,Coreea,,,toate,toate,1
259,Glitter Fit / Glow Highlighter,Dasique,Iluminator,55.0,toate,cald|rece,toate,glow|glitter,zi,toate,,Nu,Nu,4.0,Trendy,makeup,toate,toate,Coreea,,,toate,toate,1
260,Dew Tint / Glow,Amuse,Iluminator,55.0,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Vegan,makeup,toate,toate,Coreea,,,toate,toate,1
261,High Glow Mineral Highlighting Powder,Catrice,Iluminator,42.5,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Cult ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
262,Glowtangerine / Liquid Glow,Catrice,Iluminator,42.5,toate,cald|rece,toate,lichid|glow,zi,toate,,Nu,Nu,4.0,Drops lichide,makeup,toate,toate,Europa (DE),,,toate,toate,1
263,Pure Nude Highlighter,Essence,Iluminator,30.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
264,Master Chrome / Face Studio Highlighter,Maybelline,Iluminator,42.5,toate,cald|rece,toate,metalic,zi,toate,,Nu,Nu,4.0,Intens,makeup,toate,toate,Europa/global,,,toate,toate,1
265,True Match Lumi Glow Highlighter,L'Oreal Paris,Iluminator,55.0,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Pudra/lichid,makeup,toate,toate,Europa,,,toate,toate,1
266,Highlighter Powder,Bourjois,Iluminator,55.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Subtil,makeup,toate,toate,Europa (FR),,,toate,toate,1
267,Born to Glow Liquid Illuminator,NYX,Iluminator,42.5,toate,cald|rece|neutru,toate,lichid|glow,zi,toate,,Nu,Nu,4.0,"Cult, gama buna",makeup,toate,toate,Europa/global,,,toate,toate,1
268,Away We Glow Stick,NYX,Iluminator,42.5,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Stick practic,makeup,toate,toate,Europa/global,,,toate,toate,1
269,Radiant Touch / Glow Highlighter,Kiko Milano,Iluminator,55.0,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Gama mare,makeup,toate,toate,Europa (IT),,,toate,toate,1
270,Highlighting Palette (Solstice),Sleek,Iluminator,42.5,toate,cald|rece|neutru,toate,shimmer|glow,zi,toate,,Nu,Nu,4.0,Tonuri pt ten inchis ok,makeup,toate,toate,Europa (UK),,,toate,toate,1
271,Liquid / Shimmer Highlighter,Revolution,Iluminator,42.5,toate,cald|rece,toate,glow|shimmer,zi,toate,,Nu,Nu,4.0,"Multe nuante, ieftin",makeup,toate,toate,Europa (UK),,,toate,toate,1
272,Like a Doll Highlighter,Pupa,Iluminator,42.5,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Italian,makeup,toate,toate,Europa (IT),,,toate,toate,1
273,Glow Up Highlighter,Wibo,Iluminator,30.0,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
274,Highlighter Stick,Eveline,Iluminator,30.0,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
275,Dailism Highlighter,Heimish,Iluminator,55.0,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
276,Tailored Glow,Moonshot,Iluminator,55.0,toate,neutru|cald,toate,glow,zi,toate,,Nu,Nu,4.0,Subtil,makeup,toate,toate,Coreea,,,toate,toate,1
277,Play Color / Glow Touch,Etude,Iluminator,42.5,toate,cald|rece,toate,shimmer,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
278,Hi Bye Glow Highlighter,Banila Co,Iluminator,87.5,toate,cald|rece,toate,glow,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
279,Glasting Water Gloss,rom&nd,Luciu de buze,40.0,toate,cald|rece|neutru,toate,luciu sticlos,zi,toate,,Nu,Nu,4.0,"Cult, finisaj jelly nelipicios",makeup,toate,toate,Coreea,,,toate,toate,1
280,Juicy Lasting Tint (glow),rom&nd,Luciu de buze,40.0,toate,cald|rece,toate,luciu|tint,zi,toate,,Nu,Nu,4.0,Tint hidratant,makeup,toate,toate,Coreea,,,toate,toate,1
281,Ink Glasting Lip Gloss,Peripera,Luciu de buze,40.0,toate,cald|rece|neutru,toate,luciu sticlos,zi,toate,,Nu,Nu,4.0,"Glossy, multe nuante",makeup,toate,toate,Coreea,,,toate,toate,1
282,Juicy Dewy Tint,Dasique,Luciu de buze,40.0,toate,cald|rece,toate,luciu|tint,zi,toate,,Nu,Nu,4.0,Trendy,makeup,toate,toate,Coreea,,,toate,toate,1
283,Glow Fixing Tint / Dear Darling Gloss,Etude,Luciu de buze,32.5,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
284,Plumping Lips / Glow Lip Color,3CE,Luciu de buze,65.0,toate,cald|rece|neutru,toate,luciu plumping,zi,toate,,Nu,Nu,4.0,Efect de volum,makeup,toate,toate,Coreea,,,toate,toate,1
285,Crystal Glam Tint / Gloss,CLIO,Luciu de buze,40.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Sticlos,makeup,toate,toate,Coreea,,,toate,toate,1
286,Glassy Layer Lip Gloss,Lilybyred,Luciu de buze,40.0,toate,cald|rece,toate,luciu sticlos,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
287,Non-Sticky Glassy Gloss,Unleashia,Luciu de buze,65.0,toate,cald|rece|neutru,toate,luciu sticlos,zi,toate,,Nu,Nu,4.0,Nelipicios,makeup,toate,toate,Coreea,,,toate,toate,1
288,Jel-Fit Tint / Dew Gloss,Amuse,Luciu de buze,40.0,toate,cald|rece,toate,luciu jelly,zi,toate,,Nu,Nu,4.0,Vegan,makeup,toate,toate,Coreea,,,toate,toate,1
289,Glow Balm / Water Glow,Hince,Luciu de buze,65.0,toate,cald|neutru,toate,luciu,zi,toate,,Nu,Nu,4.0,Hidratant,makeup,toate,toate,Coreea,,,toate,blonde|red|brunette,1
290,Water Glow Tint,Wakemake,Luciu de buze,40.0,toate,cald|rece,toate,luciu|tint,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
291,Glasting Melting Balm,Romand,Luciu de buze,40.0,toate,cald|rece,toate,luciu|balsam,zi,toate,,Nu,Nu,4.0,Hidratant,makeup,toate,toate,Coreea,,,toate,toate,1
292,Marshmallow / Velvet Glow,Mille,Luciu de buze,32.5,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea/Asia,,,toate,toate,1
293,Vivid Oil Tint / Glow,Innisfree,Luciu de buze,40.0,toate,cald|rece,toate,luciu|ulei,zi,toate,,Nu,Nu,4.0,Hidratant,makeup,toate,toate,Coreea,,,toate,toate,1
294,Plump It Up Lip Booster,Catrice,Luciu de buze,32.5,toate,cald|rece|neutru,toate,luciu plumping,zi,toate,,Nu,Nu,4.0,"Cult, efect volum",makeup,toate,toate,Europa (DE),,,toate,toate,1
295,Extreme Shine Volume Lipgloss,Essence,Luciu de buze,20.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
296,What The Fake Plumping Gloss,Essence,Luciu de buze,20.0,toate,cald|rece|neutru,toate,luciu plumping,zi,toate,,Nu,Nu,4.0,Efect volum,makeup,toate,toate,Europa (DE),,,toate,toate,1
297,Lifter Gloss,Maybelline,Luciu de buze,32.5,toate,cald|rece|neutru,toate,luciu hidratant,zi,toate,,Nu,Nu,4.0,"Cult, cu acid hialuronic",makeup,toate,toate,Europa/global,,,toate,toate,1
298,Brilliant Signature / Glow Paradise Gloss,L'Oreal Paris,Luciu de buze,40.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Hidratant,makeup,toate,toate,Europa,,,toate,toate,1
299,Butter Gloss,NYX,Luciu de buze,32.5,toate,cald|rece|neutru,toate,luciu cremos,zi,toate,,Nu,Nu,4.0,"Cult, gama uriasa",makeup,toate,toate,Europa/global,,,toate,toate,1
300,Fat Oil Lip Drip,NYX,Luciu de buze,32.5,toate,cald|rece|neutru,toate,ulei|luciu,zi,toate,,Nu,Nu,4.0,"Trendy, hidratant",makeup,toate,toate,Europa/global,,,toate,toate,1
301,Oh My Gloss!,Rimmel,Luciu de buze,32.5,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,toate,toate,1
302,Gloss Fabuleux,Bourjois,Luciu de buze,40.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Francez,makeup,toate,toate,Europa (FR),,,toate,toate,1
303,3D Hydra Lipgloss,Kiko Milano,Luciu de buze,40.0,toate,cald|rece|neutru,toate,luciu,zi,toate,,Nu,Nu,4.0,Gama mare,makeup,toate,toate,Europa (IT),,,toate,toate,1
304,Juicy Bomb / Pout Bomb Gloss,Revolution,Luciu de buze,32.5,toate,cald|rece|neutru,toate,luciu plumping,zi,toate,,Nu,Nu,4.0,Multe nuante,makeup,toate,toate,Europa (UK),,,toate,toate,1
305,Miss Pupa Gloss,Pupa,Luciu de buze,32.5,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Italian,makeup,toate,toate,Europa (IT),,,toate,toate,1
306,Glow & Go / Lip Gloss,Eveline,Luciu de buze,20.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
307,Lip Gloss,Wibo,Luciu de buze,20.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
308,Tint Fit Gloss,Moonshot,Luciu de buze,40.0,toate,cald|rece,toate,luciu,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
309,Lash Perm Curl Fix Mascara,Etude,Mascara,40.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,"Cult, curl long-wear",makeup,toate,toate,Coreea,,,toate,toate,1
310,Kill Lash Superproof Mascara,CLIO,Mascara,50.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,"Waterproof, smudge-proof",makeup,toate,toate,Coreea,,,toate,toate,1
311,Ink Tatto Brush Cara,Peripera,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,Definire,makeup,toate,toate,Coreea,,,toate,toate,1
312,Skinny Microcara,Innisfree,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,"Pt gene fine, jos",makeup,toate,toate,Coreea,,,toate,toate,1
313,Magic Pole Mascara,Holika Holika,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum/lungime,makeup,toate,toate,Coreea,,,toate,toate,1
314,The Style 4D Mascara,Missha,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Clasic,makeup,toate,toate,Coreea,,,toate,toate,1
315,Edge Lash Mascara,A'pieu,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
316,Big Big Mascara,Espoir,Mascara,80.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum,makeup,toate,toate,Coreea,,,toate,toate,1
317,Han All Fix Mascara,rom&nd,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,"Natural, smudge-proof",makeup,toate,toate,Coreea,,,toate,toate,1
318,AM9 to PM9 Mascara,Lilybyred,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Coreea,,,toate,toate,1
319,Kill Black Fixing Cara,Wakemake,Mascara,50.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Curl fix,makeup,toate,toate,Coreea,,,toate,toate,1
320,I'm Mascara,I'm Meme,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
321,Double Needs Mascara,Tony Moly,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Definire,makeup,toate,toate,Coreea,,,toate,toate,1
322,Dailism Mascara,Heimish,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,Natural,makeup,toate,toate,Coreea,,,toate,toate,1
323,Tail Lash Mascara,Moonshot,Mascara,50.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Definire colt,makeup,toate,toate,Coreea,,,toate,toate,1
324,Glam & Doll / False Lash Mascara,Catrice,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,"Cult ieftin, volum",makeup,toate,toate,Europa (DE),,,toate,toate,1
325,Lash Princess False Lash Effect,Essence,Mascara,27.5,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,"Cult viral, volum",makeup,toate,toate,Europa (DE),,,toate,toate,1
326,Lash Sensational Sky High,Maybelline,Mascara,40.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,"Bestseller, lungime",makeup,toate,toate,Europa/global,,,toate,toate,1
327,The Falsies Surreal Extensions,Maybelline,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum/lungime,makeup,toate,toate,Europa/global,,,toate,toate,1
328,Telescopic / Paradise Mascara,L'Oreal Paris,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,Lungime / volum,makeup,toate,toate,Europa,,,toate,toate,1
329,Wonder'Luxe / Scandaleyes,Rimmel,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum,makeup,toate,toate,Europa (UK),,,toate,toate,1
330,Volume Glamour / Twist Up,Bourjois,Mascara,50.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum,makeup,toate,toate,Europa (FR),,,toate,toate,1
331,On The Rise / Worth The Hype,NYX,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Vegan,makeup,toate,toate,Europa/global,,,toate,toate,1
332,Maxi Mod / Lengthening Mascara,Kiko Milano,Mascara,50.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Gama buna,makeup,toate,toate,Europa (IT),,,toate,toate,1
333,Vamp! Mascara,Pupa,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum intens,makeup,toate,toate,Europa (IT),,,toate,toate,1
334,Volume Celebrities Mascara,Eveline,Mascara,27.5,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
335,Big & Beautiful Mascara,Astor,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Volum,makeup,toate,toate,Europa,,,toate,toate,1
336,Feel It Mascara,Wibo,Mascara,27.5,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
337,5D Mascara,Revolution,Mascara,40.0,toate,toate,negru,natural,zi,toate,,Nu,Nu,4.0,"Volum, ieftin",makeup,toate,toate,Europa (UK),,,toate,toate,1
338,2000 Calorie / False Lash Effect,Max Factor,Mascara,50.0,toate,toate,negru|maro,natural,zi,toate,,Nu,Nu,4.0,Clasic volum,makeup,toate,toate,Europa (UK),,,toate,toate,1
339,No Sebum Blur Primer,Innisfree,Primer,60.0,gras|mixt,neutru,toate,mat|blur,zi,toate,,Nu,Nu,4.0,"Control sebum, minimizeaza pori",makeup,toate,toate,Coreea,,,toate,toate,1
340,Kill Cover The New Founwear Primer,CLIO,Primer,60.0,mixt|normal,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Aderenta machiaj,makeup,toate,toate,Coreea,,,toate,toate,1
341,Water Splash Sun Primer,Espoir,Primer,95.0,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,SPF + primer,makeup,toate,toate,Coreea,,,toate,toate,1
342,Beauty Shot Face Blur / Mineral Primer,Etude,Primer,45.0,gras|mixt,neutru,toate,blur,zi,toate,,Nu,Nu,4.0,Efect blur,makeup,toate,toate,Coreea,,,toate,toate,1
343,Saemmul Perfect Pore Primer,The Saem,Primer,45.0,gras|mixt,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Minimizeaza pori,makeup,toate,toate,Coreea,,,toate,toate,1
344,De-Glow Setting / Zero Primer,rom&nd,Primer,60.0,mixt|normal,neutru,toate,natural|mat,zi,toate,,Nu,Nu,4.0,Setare,makeup,toate,toate,Coreea,,,toate,toate,1
345,Face2Change Photo Ready Primer,Holika Holika,Primer,45.0,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Iluminator/mat,makeup,toate,toate,Coreea,,,toate,toate,1
346,Pro Touch / Layering Cover Primer,Missha,Primer,45.0,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Clasic,makeup,toate,toate,Coreea,,,toate,toate,1
347,Egg Pore Primer,Tony Moly,Primer,45.0,gras|mixt,neutru,toate,mat|blur,zi,toate,,Nu,Nu,4.0,Minimizeaza pori,makeup,toate,toate,Coreea,,,toate,toate,1
348,No Sebum Primer,A'pieu,Primer,45.0,gras,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Control sebum,makeup,toate,toate,Coreea,,,toate,toate,1
349,Oil Control Primer,Wakemake,Primer,60.0,gras|mixt,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Ten gras,makeup,toate,toate,Coreea,,,toate,toate,1
350,Prime Primer (Hydrating/Blur),Banila Co,Primer,95.0,toate,neutru,toate,natural|blur,zi,toate,,Nu,Nu,4.0,Doua variante,makeup,toate,toate,Coreea,,,toate,toate,1
351,Skin Fit Primer,Lilybyred,Primer,60.0,mixt|normal,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Aderenta,makeup,toate,toate,Coreea,,,toate,toate,1
352,Prime And Fine Pore Refining / Hydrating,Catrice,Primer,45.0,gras|mixt|uscat,neutru,toate,mat|glow,zi,toate,,Nu,Nu,4.0,"Cult ieftin, mai multe variante",makeup,toate,toate,Europa (DE),,,toate,toate,1
353,All About Matt! / Hydrating Primer,Essence,Primer,32.5,gras|uscat,neutru,toate,mat|hidratant,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
354,Baby Skin Pore Eraser / Instant Perfector,Maybelline,Primer,45.0,gras|mixt,neutru,toate,blur|mat,zi,toate,,Nu,Nu,4.0,Minimizeaza pori,makeup,toate,toate,Europa/global,,,toate,toate,1
355,Infaillible / Prime Lab Primer,L'Oreal Paris,Primer,60.0,toate,neutru,toate,mat|glow,zi,toate,,Nu,Nu,4.0,Mai multe variante,makeup,toate,toate,Europa,,,toate,toate,1
356,Pore Filler / Honey Dew Primer,NYX,Primer,45.0,gras|mixt|uscat,neutru,toate,blur|glow,zi,toate,,Nu,Nu,4.0,"Cult, mai multe variante",makeup,toate,toate,Europa/global,,,toate,toate,1
357,Marshmellow Smoothing Primer,NYX,Primer,45.0,toate,neutru,toate,blur,zi,toate,,Nu,Nu,4.0,Neteziste textura,makeup,toate,toate,Europa/global,,,toate,toate,1
358,Stay Matte Primer,Rimmel,Primer,45.0,gras|mixt,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Europa (UK),,,toate,toate,1
359,Happy Light / 123 Perfect Primer,Bourjois,Primer,60.0,toate,neutru,toate,glow,zi,toate,,Nu,Nu,4.0,Iluminator,makeup,toate,toate,Europa (FR),,,toate,toate,1
360,Unlimited / Smart Eyeshadow & Face Primer,Kiko Milano,Primer,60.0,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Gama buna,makeup,toate,toate,Europa (IT),,,toate,toate,1
361,Pore & Blur / Matte Primer,Revolution,Primer,45.0,gras|mixt,neutru,toate,blur|mat,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (UK),,,toate,toate,1
362,Prime Me Face Primer,Pupa,Primer,45.0,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Italian,makeup,toate,toate,Europa (IT),,,toate,toate,1
363,Art Scenic Primer,Eveline,Primer,32.5,toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
364,Smooth & Matt Primer,Wibo,Primer,32.5,gras|mixt,neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (PL),,,toate,toate,1
365,Power Grip Primer,e.l.f.,Primer,32.5,toate,neutru,toate,grip|glow,zi,toate,,Nu,Nu,4.0,"Viral, aderenta mare",makeup,toate,toate,Europa/global,,,toate,toate,1
366,Poreless Putty Primer,e.l.f.,Primer,32.5,gras|mixt,neutru,toate,blur,zi,toate,,Nu,Nu,4.0,Minimizeaza pori,makeup,toate,toate,Europa/global,,,toate,toate,1
367,Artless Glow Base / Primer,Heimish,Primer,60.0,uscat|normal,neutru,toate,glow,zi,toate,,Nu,Nu,4.0,Iluminator subtil,makeup,toate,toate,Coreea,,,toate,toate,1
368,Cicapair Re-Cover Primer,Dr.Jart+,Primer,95.0,sensibil|toate,neutru,toate,natural,zi,toate,,Nu,Nu,4.0,"Corectare roseata, ten sensibil",makeup,toate,toate,Coreea,,,toate,toate,1
369,Zero Velvet Tint,rom&nd,Ruj,45.0,toate,cald|rece|neutru,toate,velvet mat,zi,toate,,Nu,Nu,4.0,"Cult, MLBB, confortabil",makeup,toate,toate,Coreea,,,toate,toate,1
370,Zero Matte Lipstick,rom&nd,Ruj,45.0,toate,cald|rece|neutru,toate,mat,zi,toate,,Nu,Nu,4.0,Mat moale,makeup,toate,toate,Coreea,,,toate,toate,1
371,Blur Fudge Tint,rom&nd,Ruj,45.0,toate,cald|rece|neutru,toate,mat|blur,zi,toate,,Nu,Nu,4.0,Efect blur,makeup,toate,toate,Coreea,,,toate,toate,1
372,Ink Velvet Tint,Peripera,Ruj,45.0,toate,cald|rece,toate,velvet,zi,toate,,Nu,Nu,4.0,"Cult, long-wear",makeup,toate,toate,Coreea,,,toate,toate,1
373,Ink Mood Matte Stick,Peripera,Ruj,45.0,toate,cald|rece,toate,mat,zi,toate,,Nu,Nu,4.0,Stick,makeup,toate,toate,Coreea,,,toate,toate,1
374,Chiffon Mood / Melting Sheer Lipstick,CLIO,Ruj,45.0,toate,cald|rece|neutru,toate,sheer|velvet,zi,toate,,Nu,Nu,4.0,Confortabil,makeup,toate,toate,Coreea,,,toate,toate,1
375,Velvet Lip Tint,3CE,Ruj,72.5,toate,cald|rece|neutru,toate,velvet mat,zi,toate,,Nu,Nu,4.0,"Trendy, estompat",makeup,toate,toate,Coreea,,,toate,toate,1
376,Soft Matte Lipstick,3CE,Ruj,72.5,toate,cald|rece|neutru,toate,mat moale,zi,toate,,Nu,Nu,4.0,Nuante nude,makeup,toate,toate,Coreea,,,toate,toate,1
377,Fixing Tint / Dear Darling Tint,Etude,Ruj,35.0,toate,cald|rece,toate,tint,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
378,Mood Blur Tint,Dasique,Ruj,45.0,toate,cald|rece,toate,mat|blur,zi,toate,,Nu,Nu,4.0,Trendy,makeup,toate,toate,Coreea,,,toate,toate,1
379,Mood Liar Velvet Tint,Lilybyred,Ruj,45.0,toate,cald|rece,toate,velvet,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
380,Chou Velvet / Dew Tint,Amuse,Ruj,45.0,toate,cald|rece,toate,velvet|dew,zi,toate,,Nu,Nu,4.0,Vegan,makeup,toate,toate,Coreea,,,toate,toate,1
381,Mood Enhancer Matte/Glow,Hince,Ruj,72.5,toate,cald|rece|neutru,toate,mat|glow,zi,toate,,Nu,Nu,4.0,Premium,makeup,toate,toate,Coreea,,,toate,toate,1
382,Kissholic Lipstick,Wakemake,Ruj,45.0,toate,cald|rece,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Gama buna,makeup,toate,toate,Coreea,,,toate,toate,1
383,Couture Lipstick (Velvet/Intense),Espoir,Ruj,72.5,toate,cald|rece|neutru,toate,velvet|intens,zi,toate,,Nu,Nu,4.0,Calitate buna,makeup,toate,toate,Coreea,,,toate,toate,1
384,Velvet / Matte Lipstick,Mille,Ruj,35.0,toate,cald|rece,toate,mat,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea/Asia,,,toate,toate,1
385,Scandalous Matte / Power Plumping Lipstick,Catrice,Ruj,35.0,toate,cald|rece|neutru,toate,mat|cremos,zi,toate,,Nu,Nu,4.0,Cult ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
386,Hydra Matte / Caring Shine Lipstick,Essence,Ruj,25.0,toate,cald|rece|neutru,toate,mat|satinat,zi,toate,,Nu,Nu,4.0,Foarte ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
387,SuperStay Matte Ink,Maybelline,Ruj,35.0,toate,cald|rece|neutru,toate,mat lichid long|wear,zi,toate,,Nu,Nu,4.0,"Bestseller, rezistent",makeup,toate,toate,Europa/global,,,toate,toate,1
388,Color Sensational Lipstick,Maybelline,Ruj,35.0,toate,cald|rece|neutru,toate,cremos,zi,toate,,Nu,Nu,4.0,"Clasic, gama mare",makeup,toate,toate,Europa/global,,,toate,toate,1
